schema_name	object_name	object_type	column_id	column_name	data_type	character_or_binary_length	precision	scale	is_nullable	is_identity	is_computed	default_definition	computed_definition	collation_name
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	1	SiteID	smallint	NULL	5	0	1	0	0	NULL	NULL	NULL
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	2	RepFlags	tinyint	NULL	3	0	1	0	0	NULL	NULL	NULL
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	3	Build	int	NULL	10	0	0	0	0	NULL	NULL	NULL
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	4	TouchedBy	varchar	50	0	0	1	0	0	NULL	NULL	SQL_Latin1_General_CP1_CI_AS
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	5	TouchedWhen	datetime	NULL	23	3	1	0	0	NULL	NULL	NULL
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	6	CreatedBy	varchar	50	0	0	1	0	0	NULL	NULL	SQL_Latin1_General_CP1_CI_AS
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	7	CreatedWhen	datetime	NULL	23	3	1	0	0	NULL	NULL	NULL
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	8	Active	bit	NULL	1	0	0	0	0	NULL	NULL	NULL
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	9	GUID	HVCIDdt	NULL	16	0	0	0	0	NULL	NULL	NULL
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	10	IsLeafNode	bit	NULL	1	0	0	0	0	NULL	NULL	NULL
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	11	Hierarchy	varchar	255	0	0	1	0	0	NULL	NULL	SQL_Latin1_General_CP1_CI_AS
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	12	ParentGUID	HVCIDdt	NULL	16	0	1	0	0	NULL	NULL	NULL
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	13	ApplicationID	varchar	32	0	0	1	0	0	NULL	NULL	SQL_Latin1_General_CP1_CI_AS
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	14	Code	varchar	50	0	0	1	0	0	NULL	NULL	SQL_Latin1_General_CP1_CI_AS
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	15	HierarchyCode	varchar	255	0	0	1	0	0	NULL	NULL	SQL_Latin1_General_CP1_CI_AS
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	16	DisplaySequence	int	NULL	10	0	0	0	0	NULL	NULL	NULL
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	17	Value	varchar	255	0	0	1	0	0	NULL	NULL	SQL_Latin1_General_CP1_CI_AS
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	18	HVCValue	varchar	255	0	0	1	0	0	NULL	NULL	SQL_Latin1_General_CP1_CI_AS
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	19	Description	varchar	255	0	0	1	0	0	NULL	NULL	SQL_Latin1_General_CP1_CI_AS
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	20	IsHVCDefined	bit	NULL	1	0	0	0	0	NULL	NULL	NULL
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	21	MSrepl_tran_version	uniqueidentifier	NULL	0	0	1	0	0	NULL	NULL	NULL
ASCLOUD\A711233	HVCEnvProfile_DataXchg_20260530	USER_TABLE	22	MSReplrowguid	uniqueidentifier	NULL	0	0	1	0	0	NULL	NULL	NULL
ASCLOUD\A711233	SXACDExDocType_20260530	USER_TABLE	1	Build	int	NULL	10	0	0	0	0	NULL	NULL	NULL
ASCLOUD\A711233	SXACDExDocType_20260530	USER_TABLE	2	TouchedBy	varchar	50	0	0	0	0	0	NULL	NULL	SQL_Latin1_General_CP1_CI_AS
ASCLOUD\A711233	SXACDExDocType_20260530	USER_TABLE	3	TouchedWhenUTC	datetimeoffset	NULL	30	3	0	0	0	NULL	NULL	NULL
ASCLOUD\A711233	SXACDExDocType_20260530	USER_TABLE	4	CreatedBy	varchar	50	0	0	0	0	0	NULL	NULL	SQL_Latin1_General_CP1_CI_AS
ASCLOUD\A711233	SXACDExDocType_20260530	USER_TABLE	5	CreatedWhenUTC	datetimeoffset	NULL	30	3	0	0	0	NULL	NULL	NULL
ASCLOUD\A711233	SXACDExDocType_20260530	USER_TABLE	6	Active	bit	NULL	1	0	0	0	0	NULL	NULL	NULL
ASCLOUD\A711233	SXACDExDocType_20260530	USER_TABLE	7	MSRowVersion	timestamp	NULL	0	0	0	0	0	NULL	NULL	NULL
ASCLOUD\A711233	SXACDExDocType_20260530	USER_TABLE	8	ExDocTypeID	int	NULL	10	0	0	1	0	NULL	NULL	NULL
ASCLOUD\A711233	SXACDExDocType_20260530	USER_TABLE	9	Name	varchar	150	0	0	0	0	0	NULL	NULL	SQL_Latin1_General_CP1_CI_AS
ASCLOUD\A711233	SXACDExDocType_20260530	USER_TABLE	10	SortOrder	int	NULL	10	0	0	0	0	NULL	NULL	NULL
ASCLOUD\A711233	SXACDExDocType_20260530	USER_TABLE	11	CxdToCcdaTransformUri	varchar	200	0	0	1	0	0	NULL	NULL	SQL_Latin1_General_CP1_CI_AS
